CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [2],,"Business or profession
net income (less loss)",,"Number of 
farm returns",Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,Unemployment compensation [3],,Social Security benefits in AGI,,Self-employment retirement plans,,Total itemized deductions,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Total tax credits,,Residential energy credit,,Child tax credit,,Child and dependent care credit,,Additional child tax credit,,Earned income credit [4],,"Excess earned income 
credit (refundable) [5]",,Alternative minimum tax,,Income tax [6],,Total tax liability [7],,Tax due at time of filing [8],,Overpayments refunded [9],
,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69)
00000,Total,"15,860,924","5,852,764","10,196,797","34,338,004","11,652,577","1,035,670,874","13,083,372","723,326,013","6,275,830","15,472,976","2,862,799","21,882,767","2,537,557","15,550,407","2,788,854","44,626,616","47,041","2,445,346","48,009,303","1,142,878","20,347,647","2,390,708","58,671,715","2,070,668","18,200,556","1,557,743","19,143,878","140,566","3,248,743","5,915,703","199,814,862","4,575,510","49,078,793","1,155,381","1,669,815","4,859,251","23,207,353","5,893,668","76,095,979","4,468,681","70,424,464","4,832,800","20,501,588","11,997,276","663,926,542","5,343,458","7,109,298","398,149","475,218","2,790,264","3,168,709","646,352","363,366","2,810,836","3,898,593","3,036,907","6,641,633","2,597,796","5,562,753","726,082","5,828,320","10,296,015","129,541,894","11,470,458","136,801,346","3,057,821","14,018,039","12,327,146","43,295,186"
00000,"$1 under $25,000",6271416,969644,3918420,10992685,3485420,81210729,4722501,58922458,1196815,1161406,511428,1026951,436623,539550,1165078,9163864,7957,417757,-223669,243292,1503162,570325,5031031,819152,6366436,164736,303431,5149,30750,546515,9622110,132311,233587,344519,286848,389284,1250436,533751,1911640,340367,3960641,323017,496437,2714438,15977785,949551,360269,11445,4932,345590,114486,39992,14321,1738366,2206830,2224092,5228671,1936515,4416320,1568,2697,2025539,1353303,2933963,2808526,768515,504995,5080173,11004838
00000,"$25,000 under $50,000",3795875,1196616,2449950,8624728,3116272,136695136,3277568,109185322,1198781,1249633,426190,1176904,367759,665752,527918,6204982,7840,350795,48415,230521,2286915,525690,8899345,578225,5652799,442095,2753216,10196,89789,1022243,19072340,569943,1023744,403253,464828,772036,2436974,1016261,4287477,714825,8157110,752597,1436434,3531079,65757468,1700908,1559589,55950,42536,1051221,949355,163106,97157,908251,1473669,812815,1412962,661281,1146433,1105,3022,2701924,6622834,2908371,7733820,623926,982140,3140842,8460257
00000,"$50,000 under $75,000",2071618,964040,1341232,4782466,1629023,127422786,1789244,99742126,1079097,1304011,419687,1361550,366861,813422,330361,4251266,7037,340811,240344,202311,2767434,425396,10543850,278988,2544827,339827,4568217,12477,140966,1123691,25616384,873347,2697952,223899,368411,912055,3103399,1122056,6639400,848475,10601162,917537,2056067,2044048,77526920,926040,1386770,78864,74613,614419,946327,113823,65342,138170,184751,0,0,0,0,7340,11396,1896716,9831223,1941485,10776885,485955,1132705,1576677,4804293
00000,"$75,000 under $100,000",1284362,797358,835674,3177894,1056603,111151885,1118255,85764412,834966,1152228,359953,1296359,318858,811340,232136,3466248,6171,295983,413251,156879,2840872,309699,9775467,162757,1508956,233867,4002718,13108,168525,966465,24312375,851640,3990833,99093,239064,788722,3029123,965628,7679804,735027,10383016,809515,2094759,1276884,72344083,615343,1007123,70980,75205,400435,662096,91702,53489,21267,27179,0,0,0,0,16696,30366,1250565,10146456,1260435,10864599,324998,1009106,955397,3588515
